,DNR_ID_Site_Number,Year,Mean(log_phosphorus),Std Dev(log_phosphorus),Mean(Secchi_Depth_RESULT),Std Dev(Secchi_Depth_RESULT),rec_1,rec_2,rec_3,rec_4,rec_5,seasonal_1,seasonal_2,seasonal_3,seasonal_4,seasonal_5,physical_1,physical_2,physical_3,physical_4,physical_5,LAKE_NAME,MAJOR_WATERSHED,longitude,latitude,num.rec.readings,num.physical.readings,rec.avg,physical.avg,seasonal.grade,LakeSite,Number Properties,Mean(ACRES_POLY),Std Dev(ACRES_POLY),N(Ag Preserve - Yes),N(Basement - Yes),Median(EMV_TOTAL),Interquartile Range(EMV_TOTAL),Median(FIN_SQ_FT),Interquartile Range(FIN_SQ_FT),N(Green ACRE - Yes),N(Homestead - Partial),N(Homestead - Yes),N(Single Unit),N(Multiple Unit),Median(SALE_VALUE),Interquartile Range(SALE_VALUE),Median(TOTAL_TAX),Interquartile Range(TOTAL_TAX),N(Sales that year),N(Built that year)
24,02000900-01,2013,-2.385002498,0.8274058470000001,0.8,0.81291656,2,1,2,2,0,0,1,0,0,0,2,0,3,1,1,Reshanau Lake,Mississippi River - Twin Cities,-93.09866122,45.15292958,7,7,2.5714285709999998,2.857142857,D,Reshanau Lake-1,814,0.850491401,2.505783766,0,0,221200,160800.0,1392.0,1047.0,0,0,628,0,0,293000.0,174100.0,3806.0,2412.5,24,0
500,19003700-01,2013,-3.201145773,0.508812131,1.357142857,0.631419414,4,2,1,0,0,0,0,1,0,0,2,2,3,0,0,Simley Lake,Mississippi River - Twin Cities,-93.04268875,44.83258423,7,7,1.571428571,2.142857143,C,Simley Lake-1,380,0.908222222,2.867226648,0,0,184700,149500.0,1799.0,996.0,0,0,322,331,4,156055.0,155100.0,2249.0,2166.0,14,0
1079,82001502-01,2011,-2.63108916,,1.0,0.454606057,0,1,2,1,0,0,0,0,0,0,1,1,1,1,0,Loon Lake,Lower St. Croix River,-92.83720049,45.1141432,4,4,3.0,2.5,F,Loon Lake-1,42,11.16857143,12.15508296,0,0,429300,89250.0,1874.0,870.5,0,0,36,36,0,360000.0,444750.0,,,0,0
499,19003700-01,2012,-3.211773748,0.45996210600000004,1.571428571,0.705842961,4,1,0,2,0,0,0,1,0,0,4,0,1,2,0,Simley Lake,Mississippi River - Twin Cities,-93.04268875,44.83258423,7,7,2.0,2.142857143,C,Simley Lake-1,380,0.908222222,2.867226648,0,0,181000,138150.0,1756.0,1001.5,0,0,318,326,2,153000.0,146200.0,2362.0,2200.0,2,0
705,27008600-02,2005,-2.9995525819999997,0.268659531,1.216666667,0.132000918,0,0,4,5,4,0,0,1,0,0,0,0,6,1,6,Shavers Lake,Mississippi River - Twin Cities,-93.51140917,44.90799877,13,13,4.0,4.0,C,Shavers Lake-1,50,,,0,0,498000,341000.0,0.0,0.0,0,0,46,0,0,375000.0,265000.0,5655.5,3750.25,0,0
982,70009100-01,2010,-1.8578992719999998,,0.56,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Cedar Lake,Lower Minnesota River,-93.52228564,44.595820700000004,1,1,4.0,4.0,F,Cedar Lake-1,479,1.418789144,3.2986175939999995,0,0,312100,262100.0,1072.0,1570.0,0,0,265,0,0,198000.0,275000.0,,,18,0
1440,82010600-01,2007,-4.393500836,0.48307687899999996,3.7,0.855862138,9,0,0,0,0,0,0,0,0,1,9,0,0,0,0,Elmo Lake,Lower St. Croix River,-92.88418587,44.98314906,9,9,1.0,1.0,A,Elmo Lake-1,64,,,0,0,368250,330050.0,0.0,0.0,0,62,0,0,0,118500.0,305375.0,,,0,0
394,19002300-01,2007,-1.828574897,0.5120974770000001,0.5115384620000001,0.192736701,0,1,4,8,0,1,0,0,0,0,0,1,4,7,1,Farquar Lake,Mississippi River - Lake Pepin,-93.1646402,44.75863717,13,13,3.5384615389999996,3.615384615,F,Farquar Lake-1,314,0.7408571429999999,1.189660043,0,0,259750,170900.0,2440.0,1302.0,0,4,286,288,0,193000.0,116750.0,2776.0,1930.5,8,0
126,10001000-01,2005,-3.36411189,0.45833797299999995,2.251818182,0.8171513709999999,10,0,1,0,0,0,0,1,0,0,4,1,4,2,0,Tamarack Lake,Mississippi River - Twin Cities,-93.63406464,44.87265849,11,11,1.181818182,2.363636364,C,Tamarack Lake-1,126,2.806666667,12.45780058,0,0,451300,385150.0,2416.0,3023.0,2,0,84,0,0,436000.0,327587.5,5791.0,6315.0,18,8
1283,82006500-01,2010,-3.350179532,0.35654449,1.72,0.2113449,0,3,4,0,0,0,0,1,0,0,1,6,0,0,0,Hay Lake,Lower St. Croix River,-92.81398535,45.23381325,7,7,2.5714285709999998,1.857142857,C,Hay Lake-1,68,4.647352941,4.913336289,0,0,277250,226900.0,1267.5,1917.0,8,0,56,42,0,245000.0,305000.0,,,0,2
